instance,demanddecomposed,demandstandard,limitdecomposed,limitstandard,objdecomposed,objstandard,timedecomposed,timestandard,nzorigdecomposed,nzorigstandard,nzpresolvedecomposed,nzpresolvestandard
case1888rte-2z,0.6,0.6,1.5,1.5,50392740.0,50347620.0,38.2,29.8,15832590,23821110,795388,644671
case1951rte-2z,0.6,0.6,1.25,1.25,52028420.0,51964830.0,71.2,63.3,14801505,25533489,1359781,1428343
case2848rte-2z,0.6,0.6,1.75,1.75,52699320.0,52526240.0,77.3,46.8,27238470,39823686,1396225,1305057
case3012wp-2z,0.6,0.6,1.25,1.25,21572070.0,21523450.0,108.6,46.2,44650679,50236967,1509946,1112589
case3375wp-2z,0.6,0.6,1.5,1.5,46257260.0,46238240.0,65.2,48.8,45582449,61535321,1208292,1297547
case6468rte-2z,0.6,0.6,2.25,2.25,89571550.0,89602220.0,182.1,137.4,97192430,142285646,3333806,3901289
case6515rte-2z,0.6,0.6,3.0,3.0,89457400.0,89410000.0,141.9,139.9,96815287,142718071,3963728,4691123
Average,0.6,0.6,1.7857142857142858,1.7857142857142858,57425537.14285714,57373228.571428575,97.8,73.2,48873344,69422041,1938167,2054374
