instance,timeIsf,timeTheta,infeasIsf,infeasTheta,itIsf,itTheta,gapIsf,gapTheta
case1888rte-2z,303.4,3602.7,7.568e-03,5.332e+01,62,300,0.013,nan
case1951rte-2z,204.2,3600.1,9.821e-03,1.603e+01,36,154,0.154,nan
case2848rte-2z,492.4,3600.5,9.369e-03,1.147e+03,47,8,0.299,nan
case3012wp-2z,538.4,3600.4,7.663e-03,5.568e+03,77,7,0.170,nan
case3375wp-2z,474.4,3601.1,8.229e-03,9.527e+03,67,3,0.130,nan
case6468rte-2z,1180.3,3602.3,7.315e-03,2.327e+04,42,3,0.112,nan
case6515rte-2z,1009.7,3605.7,7.462e-03,1.526e+04,45,3,0.008,nan
Average,600.4,3601.8,8.204e-03,7.835e+03,53,68,0.127,nan
